Well,Target,Sample,Cq
B19,CYP11B2,Ang6hrRep2_MinusRT,35.98323346
B20,CYP11B2,Ang6hrRep2_PlusRT,30.60050709
B21,CYP11B2,Ang8hrRep2_MinusRT,35.24091559
B22,CYP11B2,Ang8hrRep2_PlusRT,29.38321765
B23,CYP11B2,Ang24hrRep2_MinusRT,37.68846972
B24,CYP11B2,Ang24hrRep2_PlusRT,30.5195735
C01,CYP11B2,Ang0hrRep2_MinusRT,33.31152325
C02,CYP11B2,Ang0hrRep2_PlusRT,32.54767379
C03,CYP11B2,Ang0.25hrRep2_MinusRT,35.8973757
C04,CYP11B2,Ang0.25hrRep2_PlusRT,33.31916921
C05,CYP11B2,Ang0.5hrRep2_MinusRT,34.15105119
C06,CYP11B2,Ang0.5hrRep2_PlusRT,33.10179782
C07,CYP11B2,Ang0.75hrRep2_MinusRT,33.66961804
C08,CYP11B2,Ang0.75hrRep2_PlusRT,33.13531273
C09,CYP11B2,Ang1hrRep2_MinusRT,35.09437507
C10,CYP11B2,Ang1hrRep2_PlusRT,33.30429056
C11,CYP11B2,Ang1.5hrRep2_MinusRT,35.41305096
C12,CYP11B2,Ang1.5hrRep2_PlusRT,32.88579114
C13,CYP11B2,Ang2hrRep2_MinusRT,35.15306609
C14,CYP11B2,Ang2hrRep2_PlusRT,33.44708916
C15,CYP11B2,Ang3hrRep2_MinusRT,36.00158664
C16,CYP11B2,Ang3hrRep2_PlusRT,32.27197869
C17,CYP11B2,Ang4hrRep2_MinusRT,35.1913939
C18,CYP11B2,Ang4hrRep2_PlusRT,31.30628758
C19,CYP11B2,Ang6hrRep2_MinusRT,35.46398131
C20,CYP11B2,Ang6hrRep2_PlusRT,30.20766215
C21,CYP11B2,Ang8hrRep2_MinusRT,35.5238514
C22,CYP11B2,Ang8hrRep2_PlusRT,29.45179388
C23,CYP11B2,Ang24hrRep2_MinusRT,37.40003963
C24,CYP11B2,Ang24hrRep2_PlusRT,30.26071181
D01,GAPDH,Ang0hrRep2_MinusRT,26.12477048
D02,GAPDH,Ang0hrRep2_PlusRT,18.44585706
D03,GAPDH,Ang0.25hrRep2_MinusRT,27.21982952
D04,GAPDH,Ang0.25hrRep2_PlusRT,18.26620093
D05,GAPDH,Ang0.5hrRep2_MinusRT,26.2421014
D06,GAPDH,Ang0.5hrRep2_PlusRT,18.17681541
D07,GAPDH,Ang0.75hrRep2_MinusRT,26.41459512
D08,GAPDH,Ang0.75hrRep2_PlusRT,18.53065323
D09,GAPDH,Ang1hrRep2_MinusRT,27.57389981
D10,GAPDH,Ang1hrRep2_PlusRT,18.26902321
D11,GAPDH,Ang1.5hrRep2_MinusRT,28.14236222
D12,GAPDH,Ang1.5hrRep2_PlusRT,18.25569351
D13,GAPDH,Ang2hrRep2_MinusRT,28.19710118
D14,GAPDH,Ang2hrRep2_PlusRT,18.20493521
D15,GAPDH,Ang3hrRep2_MinusRT,28.26064083
D16,GAPDH,Ang3hrRep2_PlusRT,18.23972815
D17,GAPDH,Ang4hrRep2_MinusRT,28.32063017
D18,GAPDH,Ang4hrRep2_PlusRT,18.00277065
D19,GAPDH,Ang6hrRep2_MinusRT,27.62345163
D20,GAPDH,Ang6hrRep2_PlusRT,18.17909187
D21,GAPDH,Ang8hrRep2_MinusRT,27.70923639
D22,GAPDH,Ang8hrRep2_PlusRT,18.15776547
D23,GAPDH,Ang24hrRep2_MinusRT,29.28139675
D24,GAPDH,Ang24hrRep2_PlusRT,18.28071515
E01,GAPDH,Ang0hrRep2_MinusRT,26.05763001
E02,GAPDH,Ang0hrRep2_PlusRT,18.13405518
E03,GAPDH,Ang0.25hrRep2_MinusRT,27.17245189
E04,GAPDH,Ang0.25hrRep2_PlusRT,17.94396058
E05,GAPDH,Ang0.5hrRep2_MinusRT,26.22685214
E06,GAPDH,Ang0.5hrRep2_PlusRT,17.82305925
E07,GAPDH,Ang0.75hrRep2_MinusRT,26.3396374
E08,GAPDH,Ang0.75hrRep2_PlusRT,17.9811545
E09,GAPDH,Ang1hrRep2_MinusRT,27.50403893
E10,GAPDH,Ang1hrRep2_PlusRT,17.68524507
E11,GAPDH,Ang1.5hrRep2_MinusRT,27.85121909
E12,GAPDH,Ang1.5hrRep2_PlusRT,17.70134892
E13,GAPDH,Ang2hrRep2_MinusRT,28.416837
E14,GAPDH,Ang2hrRep2_PlusRT,17.68563572
E15,GAPDH,Ang3hrRep2_MinusRT,28.38705854
E16,GAPDH,Ang3hrRep2_PlusRT,17.87554257
E17,GAPDH,Ang4hrRep2_MinusRT,28.3367423
E18,GAPDH,Ang4hrRep2_PlusRT,17.97121405
E19,GAPDH,Ang6hrRep2_MinusRT,27.97256982
E20,GAPDH,Ang6hrRep2_PlusRT,17.86157514
E21,GAPDH,Ang8hrRep2_MinusRT,28.24254084
E22,GAPDH,Ang8hrRep2_PlusRT,17.99860808
E23,GAPDH,Ang24hrRep2_MinusRT,29.74056395
E24,GAPDH,Ang24hrRep2_PlusRT,18.24777356
F01,GAPDH,Ang0hrRep2_MinusRT,26.33205927
F02,GAPDH,Ang0hrRep2_PlusRT,18.38964272
F03,GAPDH,Ang0.25hrRep2_MinusRT,27.26053786
F04,GAPDH,Ang0.25hrRep2_PlusRT,18.12078038
F05,GAPDH,Ang0.5hrRep2_MinusRT,26.38144236
F06,GAPDH,Ang0.5hrRep2_PlusRT,18.16033331
F07,GAPDH,Ang0.75hrRep2_MinusRT,26.32299112
F08,GAPDH,Ang0.75hrRep2_PlusRT,18.19253295
F09,GAPDH,Ang1hrRep2_MinusRT,27.4724719
F10,GAPDH,Ang1hrRep2_PlusRT,18.02364187
F11,GAPDH,Ang1.5hrRep2_MinusRT,28.34437626
F12,GAPDH,Ang1.5hrRep2_PlusRT,18.34963531
F13,GAPDH,Ang2hrRep2_MinusRT,28.31707052
F14,GAPDH,Ang2hrRep2_PlusRT,18.17326424
F15,GAPDH,Ang3hrRep2_MinusRT,28.20927791
F16,GAPDH,Ang3hrRep2_PlusRT,18.20241647
F17,GAPDH,Ang4hrRep2_MinusRT,28.32404431
F18,GAPDH,Ang4hrRep2_PlusRT,18.07009211
F19,GAPDH,Ang6hrRep2_MinusRT,28.11918334
F20,GAPDH,Ang6hrRep2_PlusRT,17.99198305
F21,GAPDH,Ang8hrRep2_MinusRT,27.76325414
F22,GAPDH,Ang8hrRep2_PlusRT,17.95736506
F23,GAPDH,Ang24hrRep2_MinusRT,29.53933069
F24,GAPDH,Ang24hrRep2_PlusRT,18.17316242
G01,ZFP36L1,Ang0hrRep2_MinusRT,38.09589412
G02,ZFP36L1,Ang0hrRep2_PlusRT,28.72795316
G03,ZFP36L1,Ang0.25hrRep2_MinusRT,39.0059499
G04,ZFP36L1,Ang0.25hrRep2_PlusRT,28.50224635
G05,ZFP36L1,Ang0.5hrRep2_MinusRT,38.92328297
G06,ZFP36L1,Ang0.5hrRep2_PlusRT,28.72022356
G07,ZFP36L1,Ang0.75hrRep2_MinusRT,NaN
G08,ZFP36L1,Ang0.75hrRep2_PlusRT,28.08554413
G09,ZFP36L1,Ang1hrRep2_MinusRT,35.23462444
G10,ZFP36L1,Ang1hrRep2_PlusRT,28.03662139
G11,ZFP36L1,Ang1.5hrRep2_MinusRT,35.01538994
G12,ZFP36L1,Ang1.5hrRep2_PlusRT,27.87719875
G13,ZFP36L1,Ang2hrRep2_MinusRT,35.51933498
G14,ZFP36L1,Ang2hrRep2_PlusRT,27.3620652
G15,ZFP36L1,Ang3hrRep2_MinusRT,39.4487499
G16,ZFP36L1,Ang3hrRep2_PlusRT,27.31476754
G17,ZFP36L1,Ang4hrRep2_MinusRT,NaN
G18,ZFP36L1,Ang4hrRep2_PlusRT,27.35727088
G19,ZFP36L1,Ang6hrRep2_MinusRT,36.02272369
G20,ZFP36L1,Ang6hrRep2_PlusRT,27.65824776
G21,ZFP36L1,Ang8hrRep2_MinusRT,NaN
G22,ZFP36L1,Ang8hrRep2_PlusRT,28.06157568
G23,ZFP36L1,Ang24hrRep2_MinusRT,36.55488388
G24,ZFP36L1,Ang24hrRep2_PlusRT,29.03638946
H01,ZFP36L1,Ang0hrRep2_MinusRT,NaN
H02,ZFP36L1,Ang0hrRep2_PlusRT,28.91358899
H03,ZFP36L1,Ang0.25hrRep2_MinusRT,NaN
H04,ZFP36L1,Ang0.25hrRep2_PlusRT,28.61539816
H05,ZFP36L1,Ang0.5hrRep2_MinusRT,NaN
H06,ZFP36L1,Ang0.5hrRep2_PlusRT,28.92220081
H07,ZFP36L1,Ang0.75hrRep2_MinusRT,NaN
H08,ZFP36L1,Ang0.75hrRep2_PlusRT,28.36494826
H09,ZFP36L1,Ang1hrRep2_MinusRT,NaN
H10,ZFP36L1,Ang1hrRep2_PlusRT,28.11775416
H11,ZFP36L1,Ang1.5hrRep2_MinusRT,38.70238198
H12,ZFP36L1,Ang1.5hrRep2_PlusRT,28.16803398
H13,ZFP36L1,Ang2hrRep2_MinusRT,NaN
H14,ZFP36L1,Ang2hrRep2_PlusRT,27.84040487
H15,ZFP36L1,Ang3hrRep2_MinusRT,NaN
H16,ZFP36L1,Ang3hrRep2_PlusRT,27.50585983
H17,ZFP36L1,Ang4hrRep2_MinusRT,39.18183258
H18,ZFP36L1,Ang4hrRep2_PlusRT,27.40190062
H19,ZFP36L1,Ang6hrRep2_MinusRT,NaN
H20,ZFP36L1,Ang6hrRep2_PlusRT,28.04878892
H21,ZFP36L1,Ang8hrRep2_MinusRT,NaN
H22,ZFP36L1,Ang8hrRep2_PlusRT,28.18676627
H23,ZFP36L1,Ang24hrRep2_MinusRT,NaN
H24,ZFP36L1,Ang24hrRep2_PlusRT,29.15242137
I01,ZFP36L1,Ang0hrRep2_MinusRT,39.2861072
I02,ZFP36L1,Ang0hrRep2_PlusRT,28.71653646
I03,ZFP36L1,Ang0.25hrRep2_MinusRT,NaN
I04,ZFP36L1,Ang0.25hrRep2_PlusRT,28.41647521
I05,ZFP36L1,Ang0.5hrRep2_MinusRT,36.59203452
I06,ZFP36L1,Ang0.5hrRep2_PlusRT,28.53256944
I07,ZFP36L1,Ang0.75hrRep2_MinusRT,NaN
I08,ZFP36L1,Ang0.75hrRep2_PlusRT,28.33693424
I09,ZFP36L1,Ang1hrRep2_MinusRT,35.72207515
I10,ZFP36L1,Ang1hrRep2_PlusRT,28.0513501
I11,ZFP36L1,Ang1.5hrRep2_MinusRT,38.42227314
I12,ZFP36L1,Ang1.5hrRep2_PlusRT,27.87127314
I13,ZFP36L1,Ang2hrRep2_MinusRT,NaN
I14,ZFP36L1,Ang2hrRep2_PlusRT,27.74005953
I15,ZFP36L1,Ang3hrRep2_MinusRT,34.80906728
I16,ZFP36L1,Ang3hrRep2_PlusRT,27.45701366
I17,ZFP36L1,Ang4hrRep2_MinusRT,36.25272831
I18,ZFP36L1,Ang4hrRep2_PlusRT,27.4309709
I19,ZFP36L1,Ang6hrRep2_MinusRT,34.29137001
I20,ZFP36L1,Ang6hrRep2_PlusRT,27.9377323
I21,ZFP36L1,Ang8hrRep2_MinusRT,NaN
I22,ZFP36L1,Ang8hrRep2_PlusRT,27.98689581
I23,ZFP36L1,Ang24hrRep2_MinusRT,36.0719778
I24,ZFP36L1,Ang24hrRep2_PlusRT,29.08627682
J01,ZFP36L2,Ang0hrRep2_MinusRT,32.32558501
J02,ZFP36L2,Ang0hrRep2_PlusRT,26.05562371
J03,ZFP36L2,Ang0.25hrRep2_MinusRT,37.44552633
J04,ZFP36L2,Ang0.25hrRep2_PlusRT,25.71884585
J05,ZFP36L2,Ang0.5hrRep2_MinusRT,36.43757111
J06,ZFP36L2,Ang0.5hrRep2_PlusRT,25.76225973
J07,ZFP36L2,Ang0.75hrRep2_MinusRT,35.98118963
J08,ZFP36L2,Ang0.75hrRep2_PlusRT,25.43795954
J09,ZFP36L2,Ang1hrRep2_MinusRT,39.53024014
J10,ZFP36L2,Ang1hrRep2_PlusRT,25.08292904
J11,ZFP36L2,Ang1.5hrRep2_MinusRT,38.51366916
J12,ZFP36L2,Ang1.5hrRep2_PlusRT,24.07311984
J13,ZFP36L2,Ang2hrRep2_MinusRT,39.7033232
J14,ZFP36L2,Ang2hrRep2_PlusRT,24.04957851
J15,ZFP36L2,Ang3hrRep2_MinusRT,39.20586175
J16,ZFP36L2,Ang3hrRep2_PlusRT,23.856397
J17,ZFP36L2,Ang4hrRep2_MinusRT,37.93412298
J18,ZFP36L2,Ang4hrRep2_PlusRT,23.93641766
J19,ZFP36L2,Ang6hrRep2_MinusRT,39.29894408
J20,ZFP36L2,Ang6hrRep2_PlusRT,23.84429048
J21,ZFP36L2,Ang8hrRep2_MinusRT,38.30660914
J22,ZFP36L2,Ang8hrRep2_PlusRT,23.87436084
J23,ZFP36L2,Ang24hrRep2_MinusRT,NaN
J24,ZFP36L2,Ang24hrRep2_PlusRT,26.45301698
K01,ZFP36L2,Ang0hrRep2_MinusRT,36.23008281
K02,ZFP36L2,Ang0hrRep2_PlusRT,25.76125451
K03,ZFP36L2,Ang0.25hrRep2_MinusRT,38.99658145
K04,ZFP36L2,Ang0.25hrRep2_PlusRT,25.50673221
K05,ZFP36L2,Ang0.5hrRep2_MinusRT,35.81983146
K06,ZFP36L2,Ang0.5hrRep2_PlusRT,25.55979038
K07,ZFP36L2,Ang0.75hrRep2_MinusRT,37.66905585
K08,ZFP36L2,Ang0.75hrRep2_PlusRT,25.12551305
K09,ZFP36L2,Ang1hrRep2_MinusRT,38.04075453
K10,ZFP36L2,Ang1hrRep2_PlusRT,24.81599548
K11,ZFP36L2,Ang1.5hrRep2_MinusRT,38.20332894
K12,ZFP36L2,Ang1.5hrRep2_PlusRT,24.09058938
K13,ZFP36L2,Ang2hrRep2_MinusRT,NaN
K14,ZFP36L2,Ang2hrRep2_PlusRT,23.71242025
K15,ZFP36L2,Ang3hrRep2_MinusRT,38.63025328
K16,ZFP36L2,Ang3hrRep2_PlusRT,23.50906686
K17,ZFP36L2,Ang4hrRep2_MinusRT,NaN
K18,ZFP36L2,Ang4hrRep2_PlusRT,23.85774987
K19,ZFP36L2,Ang6hrRep2_MinusRT,38.2014006
K20,ZFP36L2,Ang6hrRep2_PlusRT,24.00811019
K21,ZFP36L2,Ang8hrRep2_MinusRT,39.5328461
K22,ZFP36L2,Ang8hrRep2_PlusRT,23.97179512
K23,ZFP36L2,Ang24hrRep2_MinusRT,39.9320947
K24,ZFP36L2,Ang24hrRep2_PlusRT,25.48939514
L01,ZFP36L2,Ang0hrRep2_MinusRT,36.35173706
L02,ZFP36L2,Ang0hrRep2_PlusRT,25.71536722
L03,ZFP36L2,Ang0.25hrRep2_MinusRT,38.94340628
L04,ZFP36L2,Ang0.25hrRep2_PlusRT,25.54745509
L05,ZFP36L2,Ang0.5hrRep2_MinusRT,36.65043812
L06,ZFP36L2,Ang0.5hrRep2_PlusRT,25.76477999
L07,ZFP36L2,Ang0.75hrRep2_MinusRT,36.64499239
L08,ZFP36L2,Ang0.75hrRep2_PlusRT,25.3054171
L09,ZFP36L2,Ang1hrRep2_MinusRT,37.81308569
L10,ZFP36L2,Ang1hrRep2_PlusRT,24.88004992
L11,ZFP36L2,Ang1.5hrRep2_MinusRT,37.79814777
L12,ZFP36L2,Ang1.5hrRep2_PlusRT,24.05901654
L13,ZFP36L2,Ang2hrRep2_MinusRT,38.00761347
L14,ZFP36L2,Ang2hrRep2_PlusRT,23.93822052
L15,ZFP36L2,Ang3hrRep2_MinusRT,39.65097351
L16,ZFP36L2,Ang3hrRep2_PlusRT,23.69435676
L17,ZFP36L2,Ang4hrRep2_MinusRT,37.2689338
L18,ZFP36L2,Ang4hrRep2_PlusRT,23.75991549
L19,ZFP36L2,Ang6hrRep2_MinusRT,39.08576931
L20,ZFP36L2,Ang6hrRep2_PlusRT,23.96246647
L21,ZFP36L2,Ang8hrRep2_MinusRT,38.49295219
L22,ZFP36L2,Ang8hrRep2_PlusRT,23.88054365
L23,ZFP36L2,Ang24hrRep2_MinusRT,39.29669426
L24,ZFP36L2,Ang24hrRep2_PlusRT,26.06333646
M01,ELAVL1,Ang0hrRep2_MinusRT,31.65712982
M02,ELAVL1,Ang0hrRep2_PlusRT,24.20044802
M03,ELAVL1,Ang0.25hrRep2_MinusRT,NaN
M04,ELAVL1,Ang0.25hrRep2_PlusRT,24.12652723
M05,ELAVL1,Ang0.5hrRep2_MinusRT,NaN
M06,ELAVL1,Ang0.5hrRep2_PlusRT,24.48479604
M07,ELAVL1,Ang0.75hrRep2_MinusRT,38.45685066
M08,ELAVL1,Ang0.75hrRep2_PlusRT,24.5746268
M09,ELAVL1,Ang1hrRep2_MinusRT,39.27218533
M10,ELAVL1,Ang1hrRep2_PlusRT,24.34433347
M11,ELAVL1,Ang1.5hrRep2_MinusRT,NaN
M12,ELAVL1,Ang1.5hrRep2_PlusRT,24.3277807
M13,ELAVL1,Ang2hrRep2_MinusRT,NaN
M14,ELAVL1,Ang2hrRep2_PlusRT,24.37162209
M15,ELAVL1,Ang3hrRep2_MinusRT,NaN
M16,ELAVL1,Ang3hrRep2_PlusRT,24.49066851
M17,ELAVL1,Ang4hrRep2_MinusRT,38.29120842
M18,ELAVL1,Ang4hrRep2_PlusRT,24.31102609
M19,ELAVL1,Ang6hrRep2_MinusRT,NaN
M20,ELAVL1,Ang6hrRep2_PlusRT,24.53767044
M21,ELAVL1,Ang8hrRep2_MinusRT,NaN
M22,ELAVL1,Ang8hrRep2_PlusRT,24.30613636
M23,ELAVL1,Ang24hrRep2_MinusRT,NaN
M24,ELAVL1,Ang24hrRep2_PlusRT,24.80167933
N01,ELAVL1,Ang0hrRep2_MinusRT,NaN
N02,ELAVL1,Ang0hrRep2_PlusRT,24.6609205
N03,ELAVL1,Ang0.25hrRep2_MinusRT,38.56602474
N04,ELAVL1,Ang0.25hrRep2_PlusRT,24.46720143
N05,ELAVL1,Ang0.5hrRep2_MinusRT,NaN
N06,ELAVL1,Ang0.5hrRep2_PlusRT,24.48120125
N07,ELAVL1,Ang0.75hrRep2_MinusRT,39.82900693
N08,ELAVL1,Ang0.75hrRep2_PlusRT,24.80608157
N09,ELAVL1,Ang1hrRep2_MinusRT,NaN
N10,ELAVL1,Ang1hrRep2_PlusRT,24.62302692
N11,ELAVL1,Ang1.5hrRep2_MinusRT,NaN
N12,ELAVL1,Ang1.5hrRep2_PlusRT,24.19319106
N13,ELAVL1,Ang2hrRep2_MinusRT,NaN
N14,ELAVL1,Ang2hrRep2_PlusRT,24.52344418
N15,ELAVL1,Ang3hrRep2_MinusRT,NaN
N16,ELAVL1,Ang3hrRep2_PlusRT,24.28461761
N17,ELAVL1,Ang4hrRep2_MinusRT,NaN
N18,ELAVL1,Ang4hrRep2_PlusRT,24.29817795
N19,ELAVL1,Ang6hrRep2_MinusRT,NaN
N20,ELAVL1,Ang6hrRep2_PlusRT,24.34476267
N21,ELAVL1,Ang8hrRep2_MinusRT,39.44938668
N22,ELAVL1,Ang8hrRep2_PlusRT,24.40256252
N23,ELAVL1,Ang24hrRep2_MinusRT,NaN
N24,ELAVL1,Ang24hrRep2_PlusRT,24.60226006
O01,ELAVL1,Ang0hrRep2_MinusRT,NaN
O02,ELAVL1,Ang0hrRep2_PlusRT,24.60061511
O03,ELAVL1,Ang0.25hrRep2_MinusRT,NaN
O04,ELAVL1,Ang0.25hrRep2_PlusRT,24.41717456
O05,ELAVL1,Ang0.5hrRep2_MinusRT,NaN
O06,ELAVL1,Ang0.5hrRep2_PlusRT,24.59823944
O07,ELAVL1,Ang0.75hrRep2_MinusRT,NaN
O08,ELAVL1,Ang0.75hrRep2_PlusRT,24.50551246
O09,ELAVL1,Ang1hrRep2_MinusRT,NaN
O10,ELAVL1,Ang1hrRep2_PlusRT,24.21557654
O11,ELAVL1,Ang1.5hrRep2_MinusRT,38.41399841
O12,ELAVL1,Ang1.5hrRep2_PlusRT,24.33322075
O13,ELAVL1,Ang2hrRep2_MinusRT,NaN
O14,ELAVL1,Ang2hrRep2_PlusRT,24.55913062
O15,ELAVL1,Ang3hrRep2_MinusRT,NaN
O16,ELAVL1,Ang3hrRep2_PlusRT,24.27031692
O17,ELAVL1,Ang4hrRep2_MinusRT,NaN
O18,ELAVL1,Ang4hrRep2_PlusRT,24.17037091
O19,ELAVL1,Ang6hrRep2_MinusRT,NaN
O20,ELAVL1,Ang6hrRep2_PlusRT,24.48652641
O21,ELAVL1,Ang8hrRep2_MinusRT,36.82561487
O22,ELAVL1,Ang8hrRep2_PlusRT,24.29018213
O23,ELAVL1,Ang24hrRep2_MinusRT,NaN
O24,ELAVL1,Ang24hrRep2_PlusRT,24.95284552
P01,CYP11B2,H2ONTC_PlusRT,38.93683011
P02,CYP11B2,H2ONTC_PlusRT,NaN
P03,CYP11B2,H2ONTC_PlusRT,NaN
P04,GAPDH,H2ONTC_PlusRT,34.85473697
P05,GAPDH,H2ONTC_PlusRT,34.55746906
P06,GAPDH,H2ONTC_PlusRT,34.16001085
P07,ZFP36L1,H2ONTC_PlusRT,NaN
P08,ZFP36L1,H2ONTC_PlusRT,36.34020039
P09,ZFP36L1,H2ONTC_PlusRT,38.78359583
P10,ZFP36L2,H2ONTC_PlusRT,NaN
P11,ZFP36L2,H2ONTC_PlusRT,NaN
P12,ZFP36L2,H2ONTC_PlusRT,NaN
P13,ELAVL1,H2ONTC_PlusRT,NaN
P14,ELAVL1,H2ONTC_PlusRT,NaN
P15,ELAVL1,H2ONTC_PlusRT,NaN
