Well,Target,Sample,Cq
F23,GAPDH,Ang24hrRep1_MinusRT,29.50663407
F24,GAPDH,Ang24hrRep1_PlusRT,18.14417964
G01,ZFP36L1,Ang0hrRep1_MinusRT,NaN
G02,ZFP36L1,Ang0hrRep1_PlusRT,28.88021387
G03,ZFP36L1,Ang0.25hrRep1_MinusRT,NaN
G04,ZFP36L1,Ang0.25hrRep1_PlusRT,28.82907723
G05,ZFP36L1,Ang0.5hrRep1_MinusRT,39.45064379
G06,ZFP36L1,Ang0.5hrRep1_PlusRT,28.62356794
G07,ZFP36L1,Ang0.75hrRep1_MinusRT,39.64947546
G08,ZFP36L1,Ang0.75hrRep1_PlusRT,28.46359768
G09,ZFP36L1,Ang1hrRep1_MinusRT,NaN
G10,ZFP36L1,Ang1hrRep1_PlusRT,28.09246615
G11,ZFP36L1,Ang1.5hrRep1_MinusRT,NaN
G12,ZFP36L1,Ang1.5hrRep1_PlusRT,27.96376597
G13,ZFP36L1,Ang2hrRep1_MinusRT,35.64295796
G14,ZFP36L1,Ang2hrRep1_PlusRT,28.47389561
G15,ZFP36L1,Ang3hrRep1_MinusRT,NaN
G16,ZFP36L1,Ang3hrRep1_PlusRT,27.95245256
G17,ZFP36L1,Ang4hrRep1_MinusRT,35.5616773
G18,ZFP36L1,Ang4hrRep1_PlusRT,27.40873456
G19,ZFP36L1,Ang6hrRep1_MinusRT,36.20970334
G20,ZFP36L1,Ang6hrRep1_PlusRT,27.87219984
G21,ZFP36L1,Ang8hrRep1_MinusRT,37.06670351
G22,ZFP36L1,Ang8hrRep1_PlusRT,28.04399139
G23,ZFP36L1,Ang24hrRep1_MinusRT,NaN
G24,ZFP36L1,Ang24hrRep1_PlusRT,28.81799086
H01,ZFP36L1,Ang0hrRep1_MinusRT,NaN
H02,ZFP36L1,Ang0hrRep1_PlusRT,29.41459934
H03,ZFP36L1,Ang0.25hrRep1_MinusRT,37.52224835
H04,ZFP36L1,Ang0.25hrRep1_PlusRT,28.86886516
H05,ZFP36L1,Ang0.5hrRep1_MinusRT,NaN
H06,ZFP36L1,Ang0.5hrRep1_PlusRT,28.90764251
H07,ZFP36L1,Ang0.75hrRep1_MinusRT,39.60130418
H08,ZFP36L1,Ang0.75hrRep1_PlusRT,28.86542405
